Lifecycle,parcel,year,transect,Grass,Herb,Herb_Shrub,Shrub,Tree,Cover,tot.live.cover,pShrubTran,pGrassTran,pHerbTran
Perennial,LAW090,2022,61,1,0,0,5.5,2.5,9,9.5,0.6111111111111112,0.1111111111111111,0
Perennial,LAW090,2022,62,0,0.5,0,9.5,0,10,15,0.95,0,0.05
Perennial,LAW090,2022,63,0,0,0,8.5,0,8.5,12.5,1,0,0
Perennial,LAW090,2022,64,0,0,0,10.5,0,10.5,18.5,1,0,0
Perennial,LAW090,2022,66,0,0,0,11,0,11,11.5,1,0,0
Perennial,LAW090,2022,67,1,0,0,8,0,9,10,0.8888888888888888,0.1111111111111111,0
Perennial,LAW090,2022,68,0,0,0,7.5,0,7.5,17,1,0,0
Perennial,LAW090,2022,69,0,0,0,8,0,8,11,1,0,0
Perennial,LAW090,2022,70,0,1,0,6.5,0,7.5,10,0.8666666666666667,0,0.13333333333333333
Perennial,LAW090,2022,71,0,0,0,4,0,4,12.5,1,0,0
Perennial,LAW090,2022,72,0,0,0,12.5,0,12.5,13.5,1,0,0
Perennial,LAW090,2022,73,0,0,0,22,0,22,22.5,1,0,0
Perennial,LAW090,2022,74,2.5,0,0,24.5,0,27,27,0.9074074074074074,0.09259259259259259,0
Perennial,LAW090,2022,75,0,0,0,18.5,0,18.5,19.5,1,0,0
Perennial,LAW090,2022,76,0,0,0,3,0,3,3.5,1,0,0
Perennial,LAW090,2022,77,0,0,0,16,0,16,17,1,0,0
Perennial,LAW090,2022,78,0,0,0,13.5,0,13.5,22,1,0,0
Perennial,LAW090,2022,79,0,0,0,6,0,6,28.5,1,0,0
Perennial,LAW090,2022,80,0,0,0,23.5,0,23.5,25.5,1,0,0
Perennial,LAW090,2024,61,0,0,0,13,4.5,17.5,17.5,0.7428571428571429,0,0
Perennial,LAW090,2024,62,0,0,0,2.5,0,2.5,2.5,1,0,0
Perennial,LAW090,2024,63,0,0,0,14.499999999999998,0,14.499999999999998,14.499999999999998,1,0,0
Perennial,LAW090,2024,64,0,0,0,5,0,5,5,1,0,0
Perennial,LAW090,2024,65,0,0,0,3,0,3,3,1,0,0
Perennial,LAW090,2024,66,0,0,0,10.5,0,10.5,15,1,0,0
Perennial,LAW090,2024,67,0,0,0,1,0,1,1,1,0,0
Perennial,LAW090,2024,68,0,0,0,10,0,10,12.5,1,0,0
Perennial,LAW090,2024,69,0,0,0,2.5,0,2.5,2.5,1,0,0
Perennial,LAW090,2024,70,0,0,0,3,0,3,3,1,0,0
Perennial,LAW090,2024,71,0,0,0,4,0,4,4,1,0,0
Perennial,LAW090,2024,72,0,0,0,8.5,0,8.5,8.5,1,0,0
Perennial,LAW090,2024,73,0,0,0,21,0,21,21.5,1,0,0
Perennial,LAW090,2024,74,0,0,0,15.5,0,15.5,15.5,1,0,0
Perennial,LAW090,2024,75,0,0,0,19.5,0,19.5,19.5,1,0,0
Perennial,LAW090,2024,76,0,0,0,10,0,10,10,1,0,0
Perennial,LAW090,2024,77,0,0,0,11,0,11,11,1,0,0
Perennial,LAW090,2024,78,0,0,0,15,0,15,15,1,0,0
Perennial,LAW090,2024,79,0,0,0,8,0,8,9,1,0,0
Perennial,LAW090,2024,80,0,0,0,10.5,0,10.5,10.5,1,0,0
Perennial,LAW094,2022,41,0,0,0,8.5,0,8.5,10.5,1,0,0
Perennial,LAW094,2022,42,0,0,0,11.5,0,11.5,14,1,0,0
Perennial,LAW094,2022,43,0,0,0,10,0,10,12.5,1,0,0
Perennial,LAW094,2022,44,0,0,0,10.5,0,10.5,12.5,1,0,0
Perennial,LAW094,2022,45,0,0,0,5,0,5,6.5,1,0,0
Perennial,LAW094,2022,46,0,0,0,5,0,5,7.5,1,0,0
Perennial,LAW094,2022,47,0.5,0,0,10,0,10.5,13.5,0.9523809523809523,0.047619047619047616,0
Perennial,LAW094,2022,48,1.5,0,0,6.5,0,8,11,0.8125,0.1875,0
Perennial,LAW094,2022,49,0,0,0,10.5,0,10.5,12,1,0,0
Perennial,LAW094,2022,50,0,0,0,13,0,13,14,1,0,0
Perennial,LAW094,2022,51,0,0,0,4,0,4,13.5,1,0,0
Perennial,LAW094,2022,52,0,0,0,7.5,0,7.5,12.5,1,0,0
Perennial,LAW094,2022,53,3.5000000000000004,0,0,6.5,0,10,22,0.65,0.35000000000000003,0
Perennial,LAW094,2022,54,1,0,0,7.5,0,8.5,20,0.8823529411764706,0.11764705882352941,0
Perennial,LAW094,2022,55,3.5000000000000004,0,0,7.000000000000001,0,10.500000000000002,19.5,0.6666666666666666,0.3333333333333333,0
Perennial,LAW094,2022,56,2.5,0,0,6,0,8.5,20,0.7058823529411765,0.29411764705882354,0
Perennial,LAW094,2022,57,0,0,0,11.5,0,11.5,20.5,1,0,0
Perennial,LAW094,2022,58,0,0,0,2.5,0,2.5,15,1,0,0
Perennial,LAW094,2022,59,0.5,0,0,7.5,0,8,20,0.9375,0.0625,0
Perennial,LAW094,2022,60,1.5,0,0,5.5,0,7,16,0.7857142857142857,0.21428571428571427,0
Perennial,LAW094,2024,41,0,0,0,12,0,12,12,1,0,0
Perennial,LAW094,2024,42,0,0,0,12,0,12,12,1,0,0
Perennial,LAW094,2024,43,0,0,0,7.5,0,7.5,8,1,0,0
Perennial,LAW094,2024,44,0,0,0,18.5,0,18.5,18.5,1,0,0
Perennial,LAW094,2024,45,0,0,0,10.5,0,10.5,10.5,1,0,0
Perennial,LAW094,2024,46,0,0,0,4.5,0,4.5,4.5,1,0,0
Perennial,LAW094,2024,47,0,0,0,3.5000000000000004,0,3.5000000000000004,3.5000000000000004,1,0,0
Perennial,LAW094,2024,48,0,0,0,5,0,5,5,1,0,0
Perennial,LAW094,2024,49,0,0,0,11,0,11,11,1,0,0
Perennial,LAW094,2024,50,0,0,0,20.5,0,20.5,20.5,1,0,0
Perennial,LAW094,2024,51,0,0,0,5.5,0,5.5,5.5,1,0,0
Perennial,LAW094,2024,52,0,0,0,9.5,0,9.5,9.5,1,0,0
Perennial,LAW094,2024,53,0,0,0,6.5,0,6.5,6.5,1,0,0
Perennial,LAW094,2024,54,0,0,0,6,0,6,6,1,0,0
Perennial,LAW094,2024,55,0,0,0,7.5,0,7.5,7.5,1,0,0
Perennial,LAW094,2024,56,0,0,0,5.5,0,5.5,5.5,1,0,0
Perennial,LAW094,2024,57,0,0,0,11,0,11,11,1,0,0
Perennial,LAW094,2024,58,0,0,0,3,0,3,3,1,0,0
Perennial,LAW094,2024,59,0,0,0,7.000000000000001,0,7.000000000000001,7.000000000000001,1,0,0
Perennial,LAW094,2024,60,0,0,0,2,0,2,2,1,0,0
Perennial,LAW095,2022,21,2,0,0,21,0,23,23.5,0.9130434782608695,0.08695652173913043,0
Perennial,LAW095,2022,22,0,0,0,16,0,16,17,1,0,0
Perennial,LAW095,2022,23,5,0,0,0,0,5,7.5,0,1,0
Perennial,LAW095,2022,24,0,0,0,1,0,1,1,1,0,0
Perennial,LAW095,2022,25,0.5,0,0,14.000000000000002,0,14.500000000000002,15.000000000000002,0.9655172413793104,0.03448275862068965,0
Perennial,LAW095,2022,26,5,0,0,9,0,14,15.5,0.6428571428571429,0.35714285714285715,0
Perennial,LAW095,2022,27,2.5,0,0,1,0,3.5,5.5,0.2857142857142857,0.7142857142857143,0
Perennial,LAW095,2022,28,0.5,0,0,16.5,0,17,17.5,0.9705882352941176,0.029411764705882353,0
Perennial,LAW095,2022,29,1,0,0,3,0,4,4,0.75,0.25,0
Perennial,LAW095,2022,30,0,0,0,10,0,10,10.5,1,0,0
Perennial,LAW095,2022,31,0,0,0,4,0,4,5,1,0,0
Perennial,LAW095,2022,32,0,0,0,6,0,6,10.5,1,0,0
Perennial,LAW095,2022,33,3,0,0,4,0,7,8,0.5714285714285714,0.42857142857142855,0
Perennial,LAW095,2022,34,3.5000000000000004,0,0,9.5,0,13,16,0.7307692307692307,0.2692307692307693,0
Perennial,LAW095,2022,35,0,0,0,5,0,5,12.5,1,0,0
Perennial,LAW095,2022,36,0,0,0,3,0,3,9.5,1,0,0
Perennial,LAW095,2022,37,0,0,0,5.5,0,5.5,10.5,1,0,0
Perennial,LAW095,2022,38,1,0,0,5.5,0,6.5,14,0.8461538461538461,0.15384615384615385,0
Perennial,LAW095,2022,39,0,0,0,12.5,0,12.5,17,1,0,0
Perennial,LAW095,2022,40,0,0,0,6,0,6,13,1,0,0
Perennial,LAW095,2024,21,0,0,0,20.5,0,20.5,21,1,0,0
Perennial,LAW095,2024,22,0,0,0,17,0,17,17,1,0,0
Perennial,LAW095,2024,23,0,0,0,0.5,0,0.5,1,1,0,0
Perennial,LAW095,2024,24,0,0,0,20,0,20,20.5,1,0,0
Perennial,LAW095,2024,25,0,0,0,13.5,0,13.5,14,1,0,0
Perennial,LAW095,2024,26,0,0,0,7.5,0,7.5,7.5,1,0,0
Perennial,LAW095,2024,27,0,0,0,1,0,1,1.5,1,0,0
Perennial,LAW095,2024,28,0,0,0,27,0,27,27,1,0,0
Perennial,LAW095,2024,29,0,0,0,4,0,4,4,1,0,0
Perennial,LAW095,2024,30,0,0,0,15.5,0,15.5,16,1,0,0
Perennial,LAW095,2024,31,0,0,0,7.000000000000001,0,7.000000000000001,9,1,0,0
Perennial,LAW095,2024,32,0,0,0,2.5,0,2.5,3.5,1,0,0
Perennial,LAW095,2024,33,0,0,0,9.5,0,9.5,10,1,0,0
Perennial,LAW095,2024,34,0,0,0,5.5,0,5.5,5.5,1,0,0
Perennial,LAW095,2024,35,0,0,0,1,0,1,5,1,0,0
Perennial,LAW095,2024,36,0,0,0,2,0,2,5,1,0,0
Perennial,LAW095,2024,37,0,0,0,2,0,2,3.5,1,0,0
Perennial,LAW095,2024,38,0,0,0,4.5,0,4.5,4.5,1,0,0
Perennial,LAW095,2024,39,0,0,0,11.5,0,11.5,11.5,1,0,0
Perennial,LAW095,2024,40,0,0,0,6.5,0,6.5,7,1,0,0
Perennial,LAW118,2023,1,1,2,0,3,0,6,25.5,0.5,0.16666666666666666,0.3333333333333333
Perennial,LAW118,2023,2,1,1.5,0,14.499999999999998,0,17,45.99999999999999,0.8529411764705881,0.058823529411764705,0.08823529411764706
Perennial,LAW118,2023,3,0,0,0,14.000000000000002,0,14.000000000000002,40,1,0,0
Perennial,LAW118,2023,4,0,1,0,12.5,0,13.5,31.5,0.9259259259259259,0,0.07407407407407407
Perennial,LAW118,2023,5,0.5,0,0,20,0,20.5,29.5,0.975609756097561,0.024390243902439025,0
Perennial,LAW118,2023,6,0,0,0.5,10,0,10.5,37,0.9523809523809523,0,0
Perennial,LAW118,2023,7,0,0.5,0,11,0,11.5,34.5,0.9565217391304348,0,0.043478260869565216
Perennial,LAW118,2023,8,0,0.5,0,5,0,5.5,48,0.9090909090909091,0,0.09090909090909091
Perennial,LAW118,2023,9,0,0,0,1.5,0,1.5,20.5,1,0,0
Perennial,LAW118,2023,10,0,1.5,0,2.5,0,4,42,0.625,0,0.375
Perennial,LAW118,2023,11,0,0,0,21,0,21,32.5,1,0,0
Perennial,LAW118,2023,12,0,0,0,36.5,0,36.5,44.5,1,0,0
Perennial,LAW118,2023,13,0,0,0,27,0,27,37,1,0,0
Perennial,LAW118,2023,14,0,0,0,22.5,0,22.5,32.5,1,0,0
Perennial,LAW118,2023,15,0,0,0,19,0,19,30,1,0,0
Perennial,LAW118,2025,6,0,0,0,1.5,0,1.5,2.5,1,0,0
Perennial,LAW118,2025,8,0,0,0,2.5,0,2.5,7.5,1,0,0
Perennial,LAW118,2025,10,0,0,0,0,0,0,3,0,0,0
Perennial,LAW118,2025,11,0,0,0,17.5,0,17.5,18.5,1,0,0
Perennial,LAW118,2025,13,0,0,0,9,0,9,9,1,0,0
Perennial,LAW118,2025,14,0,0,0,20.5,0,20.5,20.5,1,0,0
Perennial,LAW129,2025,1,0,0,0,5,0,5,6.5,1,0,0
Perennial,LAW129,2025,2,0,0,0,0,0,0,0,0,0,0
Perennial,LAW129,2025,3,0,1,0,5.5,0,6.5,7.5,0.8461538461538461,0,0.15384615384615385
Perennial,LAW129,2025,5,0,0,0,4.5,0,4.5,5.5,1,0,0
Perennial,LAW129,2025,6,0,0,0,7.5,0,7.5,8.5,1,0,0
Perennial,LAW129,2025,7,0,0.5,0,9,0,9.5,21.5,0.9473684210526315,0,0.05263157894736842
Perennial,LAW129,2025,8,0,0,0,9.5,0,9.5,9.5,1,0,0
Perennial,LAW129,2025,10,0,0,0,7.000000000000001,0,7.000000000000001,7.500000000000001,1,0,0
Perennial,LAW129,2025,12,0,5,0,8.5,0,13.5,20.5,0.6296296296296297,0,0.37037037037037035
Perennial,LAW129,2025,13,0,0.5,0,0,0,0.5,10,0,0,1
Perennial,LAW129,2025,14,0,0,0,0,0,0,0,0,0,0
Perennial,LAW129,2025,15,0,0,0,0,0,0,0,0,0,0
Perennial,LAW129,2025,17,0,0,0,0,0,0,0,0,0,0
Perennial,LAW129,2025,21,0,0,0,2.5,0,2.5,17,1,0,0
