"transect","parcel","bearing","project_type","popup_text"
1,"LAW129",120,"2003 Reveg Projects","<b>Transect 1</b><br>Parcel: LAW129<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
2,"LAW129",40,"2003 Reveg Projects","<b>Transect 2</b><br>Parcel: LAW129<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
3,"LAW129",220,"2003 Reveg Projects","<b>Transect 3</b><br>Parcel: LAW129<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
4,"LAW129",120,"2003 Reveg Projects","<b>Transect 4</b><br>Parcel: LAW129<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
5,"LAW129",40,"2003 Reveg Projects","<b>Transect 5</b><br>Parcel: LAW129<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
6,"LAW129",320,"2003 Reveg Projects","<b>Transect 6</b><br>Parcel: LAW129<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
7,"LAW129",120,"2003 Reveg Projects","<b>Transect 7</b><br>Parcel: LAW129<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
8,"LAW129",40,"2003 Reveg Projects","<b>Transect 8</b><br>Parcel: LAW129<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
9,"LAW129",220,"2003 Reveg Projects","<b>Transect 9</b><br>Parcel: LAW129<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
10,"LAW129",120,"2003 Reveg Projects","<b>Transect 10</b><br>Parcel: LAW129<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
11,"LAW129",40,"2003 Reveg Projects","<b>Transect 11</b><br>Parcel: LAW129<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
12,"LAW129",320,"2003 Reveg Projects","<b>Transect 12</b><br>Parcel: LAW129<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
13,"LAW129",120,"2003 Reveg Projects","<b>Transect 13</b><br>Parcel: LAW129<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
14,"LAW129",40,"2003 Reveg Projects","<b>Transect 14</b><br>Parcel: LAW129<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
15,"LAW129",220,"2003 Reveg Projects","<b>Transect 15</b><br>Parcel: LAW129<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
16,"LAW129",120,"2003 Reveg Projects","<b>Transect 16</b><br>Parcel: LAW129<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
17,"LAW129",40,"2003 Reveg Projects","<b>Transect 17</b><br>Parcel: LAW129<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
18,"LAW129",320,"2003 Reveg Projects","<b>Transect 18</b><br>Parcel: LAW129<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
19,"LAW129",120,"2003 Reveg Projects","<b>Transect 19</b><br>Parcel: LAW129<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
20,"LAW129",40,"2003 Reveg Projects","<b>Transect 20</b><br>Parcel: LAW129<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
21,"LAW095",40,"2003 Reveg Projects","<b>Transect 21</b><br>Parcel: LAW095<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
22,"LAW095",220,"2003 Reveg Projects","<b>Transect 22</b><br>Parcel: LAW095<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
23,"LAW095",40,"2003 Reveg Projects","<b>Transect 23</b><br>Parcel: LAW095<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
24,"LAW095",120,"2003 Reveg Projects","<b>Transect 24</b><br>Parcel: LAW095<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
25,"LAW095",320,"2003 Reveg Projects","<b>Transect 25</b><br>Parcel: LAW095<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
26,"LAW095",40,"2003 Reveg Projects","<b>Transect 26</b><br>Parcel: LAW095<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
27,"LAW095",120,"2003 Reveg Projects","<b>Transect 27</b><br>Parcel: LAW095<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
28,"LAW095",220,"2003 Reveg Projects","<b>Transect 28</b><br>Parcel: LAW095<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
29,"LAW095",40,"2003 Reveg Projects","<b>Transect 29</b><br>Parcel: LAW095<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
30,"LAW095",40,"2003 Reveg Projects","<b>Transect 30</b><br>Parcel: LAW095<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
31,"LAW095",120,"2003 Reveg Projects","<b>Transect 31</b><br>Parcel: LAW095<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
32,"LAW095",120,"2003 Reveg Projects","<b>Transect 32</b><br>Parcel: LAW095<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
33,"LAW095",40,"2003 Reveg Projects","<b>Transect 33</b><br>Parcel: LAW095<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
34,"LAW095",320,"2003 Reveg Projects","<b>Transect 34</b><br>Parcel: LAW095<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
35,"LAW095",120,"2003 Reveg Projects","<b>Transect 35</b><br>Parcel: LAW095<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
36,"LAW095",120,"2003 Reveg Projects","<b>Transect 36</b><br>Parcel: LAW095<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
37,"LAW095",220,"2003 Reveg Projects","<b>Transect 37</b><br>Parcel: LAW095<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
38,"LAW095",40,"2003 Reveg Projects","<b>Transect 38</b><br>Parcel: LAW095<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
39,"LAW095",320,"2003 Reveg Projects","<b>Transect 39</b><br>Parcel: LAW095<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
40,"LAW095",120,"2003 Reveg Projects","<b>Transect 40</b><br>Parcel: LAW095<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
41,"LAW094",40,"2003 Reveg Projects","<b>Transect 41</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
42,"LAW094",220,"2003 Reveg Projects","<b>Transect 42</b><br>Parcel: LAW094<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
43,"LAW094",40,"2003 Reveg Projects","<b>Transect 43</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
44,"LAW094",120,"2003 Reveg Projects","<b>Transect 44</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
45,"LAW094",320,"2003 Reveg Projects","<b>Transect 45</b><br>Parcel: LAW094<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
46,"LAW094",40,"2003 Reveg Projects","<b>Transect 46</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
47,"LAW094",120,"2003 Reveg Projects","<b>Transect 47</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
48,"LAW094",220,"2003 Reveg Projects","<b>Transect 48</b><br>Parcel: LAW094<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
49,"LAW094",40,"2003 Reveg Projects","<b>Transect 49</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
50,"LAW094",40,"2003 Reveg Projects","<b>Transect 50</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
51,"LAW094",120,"2003 Reveg Projects","<b>Transect 51</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
52,"LAW094",120,"2003 Reveg Projects","<b>Transect 52</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
53,"LAW094",40,"2003 Reveg Projects","<b>Transect 53</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
54,"LAW094",320,"2003 Reveg Projects","<b>Transect 54</b><br>Parcel: LAW094<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
55,"LAW094",120,"2003 Reveg Projects","<b>Transect 55</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
56,"LAW094",120,"2003 Reveg Projects","<b>Transect 56</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
57,"LAW094",220,"2003 Reveg Projects","<b>Transect 57</b><br>Parcel: LAW094<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
58,"LAW094",40,"2003 Reveg Projects","<b>Transect 58</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
59,"LAW094",320,"2003 Reveg Projects","<b>Transect 59</b><br>Parcel: LAW094<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
60,"LAW094",120,"2003 Reveg Projects","<b>Transect 60</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
61,"LAW090",40,"2003 Reveg Projects","<b>Transect 61</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
62,"LAW090",320,"2003 Reveg Projects","<b>Transect 62</b><br>Parcel: LAW090<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
63,"LAW090",120,"2003 Reveg Projects","<b>Transect 63</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
64,"LAW090",120,"2003 Reveg Projects","<b>Transect 64</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
65,"LAW090",40,"2003 Reveg Projects","<b>Transect 65</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
66,"LAW090",40,"2003 Reveg Projects","<b>Transect 66</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
67,"LAW090",320,"2003 Reveg Projects","<b>Transect 67</b><br>Parcel: LAW090<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
68,"LAW090",120,"2003 Reveg Projects","<b>Transect 68</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
69,"LAW090",40,"2003 Reveg Projects","<b>Transect 69</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
70,"LAW090",220,"2003 Reveg Projects","<b>Transect 70</b><br>Parcel: LAW090<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
71,"LAW090",40,"2003 Reveg Projects","<b>Transect 71</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
72,"LAW090",320,"2003 Reveg Projects","<b>Transect 72</b><br>Parcel: LAW090<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
73,"LAW090",120,"2003 Reveg Projects","<b>Transect 73</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
74,"LAW090",120,"2003 Reveg Projects","<b>Transect 74</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
75,"LAW090",120,"2003 Reveg Projects","<b>Transect 75</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
76,"LAW090",220,"2003 Reveg Projects","<b>Transect 76</b><br>Parcel: LAW090<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
77,"LAW090",40,"2003 Reveg Projects","<b>Transect 77</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
78,"LAW090",320,"2003 Reveg Projects","<b>Transect 78</b><br>Parcel: LAW090<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
79,"LAW090",120,"2003 Reveg Projects","<b>Transect 79</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
80,"LAW090",220,"2003 Reveg Projects","<b>Transect 80</b><br>Parcel: LAW090<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
