transect,old_hits,new_hits,difference,percent_change
10c,17,26,9,52.9
11a,2,0,-2,-100
12a,2,17,15,750
13a,1,15,14,1400
14a,2,30,28,1400
15a,3,10,7,233.3
1a,15,15,0,0
2a,13,0,-13,-100
3a,0,2,2,999
4a,2,3,1,50
5a,2,41,39,1950
6d,2,2,0,0
7d,3,1,-2,-66.7
8a,26,3,-23,-88.5
9a,41,1,-40,-97.6
TOTAL,131,166,35,26.7
