Parcel,Year,Transect,Species,Hits,Cover (%)
LAW129,2022,1,ERNA10,22,11
LAW129,2022,1,ATCA2,8,4
LAW129,2022,1,SATR12,3,1.5
LAW129,2022,1,IVAX,1,0.5
LAW129,2022,2,ERNA10,36,18
LAW129,2022,3,SATR12,3,1.5
LAW129,2022,3,ATPO,9,4.5
LAW129,2022,3,ERNA10,37,18.5
LAW129,2022,3,ATCA2,1,0.5
LAW129,2022,4,ERNA10,18,9
LAW129,2022,4,SATR12,10,5
LAW129,2022,4,COCA5,5,2.5
LAW129,2022,4,ATPO,4,2
LAW129,2022,4,COAR4,4,2
LAW129,2022,4,MEOF,1,0.5
LAW129,2022,4,SPAI,2,1
LAW129,2022,5,ERNA10,13,6.5
LAW129,2022,5,ATCA2,12,6
LAW129,2022,5,SATR12,3,1.5
LAW129,2022,6,SATR12,3,1.5
LAW129,2022,6,ERNA10,21,10.5
LAW129,2022,6,ATCA2,15,7.5
LAW129,2022,6,ATPO,5,2.5
LAW129,2022,7,ERNA10,1,0.5
LAW129,2022,7,ATCA2,9,4.5
LAW129,2022,7,SATR12,11,5.5
LAW129,2022,7,COCA5,1,0.5
LAW129,2022,7,ATPO,11,5.5
LAW129,2022,7,COAR4,1,0.5
LAW129,2022,7,KRLA2,3,1.5
LAW129,2022,8,ATCA2,11,5.5
LAW129,2022,8,ERNA10,17,8.5
LAW129,2022,8,ATPO,3,1.5
LAW129,2022,9,ATCA2,13,6.5
LAW129,2022,9,ERNA10,22,11
LAW129,2022,9,ATPO,7,3.5
LAW129,2022,9,DISP,1,0.5
LAW129,2022,9,SATR12,1,0.5
LAW129,2022,10,ATPO,3,1.5
LAW129,2022,10,ATCA2,29,14.5
LAW129,2022,10,ERNA10,1,0.5
LAW129,2022,11,COAR4,3,1.5
LAW129,2022,11,ERNA10,22,11
LAW129,2022,11,ATPO,6,3
LAW129,2022,11,CLLU2,2,1
LAW129,2022,12,ATCA2,2,1
LAW129,2022,12,ERNA10,3,1.5
LAW129,2022,12,ATPO,26,13
LAW129,2022,12,SATR12,11,5.5
LAW129,2022,12,COAR4,1,0.5
LAW129,2022,13,ERNA10,39,19.5
LAW129,2022,13,SATR12,1,0.5
LAW129,2022,14,ERNA10,59,29.5
LAW129,2022,14,IVAX,2,1
LAW129,2022,15,ERNA10,68,34
LAW129,2022,15,KRLA2,1,0.5
LAW129,2022,16,SATR12,10,5
LAW129,2022,16,ATTO,1,0.5
LAW129,2022,16,ERNA10,7,3.5
LAW129,2022,16,COAR4,1,0.5
LAW129,2022,17,ERNA10,21,10.5
LAW129,2022,17,SATR12,1,0.5
LAW129,2022,18,ERNA10,37,18.5
LAW129,2022,18,SATR12,2,1
LAW129,2022,19,SATR12,6,3
LAW129,2022,19,ERNA10,3,1.5
LAW129,2022,19,ATPO,6,3
LAW129,2022,19,ATCA2,9,4.5
LAW129,2022,20,ERNA10,3,1.5
LAW129,2022,20,SATR12,24,12
LAW129,2022,20,ATCA2,3,1.5
LAW129,2022,20,ATPO,1,0.5
LAW129,2022,20,ATTO,1,0.5
LAW095,2022,21,SATR12,1,0.5
LAW095,2022,21,ATCA2,5,2.5
LAW095,2022,21,SPAI,4,2
LAW095,2022,21,ERNA10,5,2.5
LAW095,2022,21,ATPO,35,17.5
LAW095,2022,21,AMDU2,2,1
LAW095,2022,22,ATTO,2,1
LAW095,2022,22,ATCA2,12,6
LAW095,2022,22,ATPO,20,10
LAW095,2022,22,SATR12,2,1
LAW095,2022,22,ERNA10,3,1.5
LAW095,2022,23,SATR12,4,2
LAW095,2022,23,SPAI,3,1.5
LAW095,2022,23,ERNA10,10,5
LAW095,2022,23,ATTO,5,2.5
LAW095,2022,23,DISP,3,1.5
LAW095,2022,23,ATTO,2,1
LAW095,2022,23,LYCO,1,0.5
LAW095,2022,23,LECI4,1,0.5
LAW095,2022,23,LETR5,3,1.5
LAW095,2022,24,ERNA10,12,6
LAW095,2022,24,ATTO,12,6
LAW095,2022,24,ATCA2,2,1
LAW095,2022,25,ATTO,5,2.5
LAW095,2022,25,SPAI,1,0.5
LAW095,2022,25,ATCA2,12,6
LAW095,2022,25,ATPO,16,8
LAW095,2022,25,SATR12,1,0.5
LAW095,2022,26,SATR12,3,1.5
LAW095,2022,26,ATCA2,18,9
LAW095,2022,26,SPAI,9,4.5
LAW095,2022,26,ERNA10,4,2
LAW095,2022,26,ATTO,3,1.5
LAW095,2022,26,DISP,1,0.5
LAW095,2022,27,ERNA10,4,2
LAW095,2022,27,ATCA2,2,1
LAW095,2022,27,SPAI,3,1.5
LAW095,2022,27,SATR12,4,2
LAW095,2022,27,DISP,2,1
LAW095,2022,28,SATR12,1,0.5
LAW095,2022,28,ERNA10,1,0.5
LAW095,2022,28,ATPO,27,13.5
LAW095,2022,28,ATCA2,6,3
LAW095,2022,28,ATTO,3,1.5
LAW095,2022,28,SPAI,1,0.5
LAW095,2022,29,ATPO,2,1
LAW095,2022,29,ATCA2,4,2
LAW095,2022,29,ERNA10,11,5.5
LAW095,2022,29,LETR5,2,1
LAW095,2022,30,SATR12,1,0.5
LAW095,2022,30,ATPO,10,5
LAW095,2022,30,ATCA2,7,3.5
LAW095,2022,30,ERNA10,8,4
LAW095,2022,30,AMDU2,3,1.5
LAW095,2022,31,SATR12,2,1
LAW095,2022,31,ATPO,5,2.5
LAW095,2022,31,ERNA10,5,2.5
LAW095,2022,31,ATCA2,3,1.5
LAW095,2022,32,SATR12,9,4.5
LAW095,2022,32,ATPO,5,2.5
LAW095,2022,32,ATCA2,7,3.5
LAW095,2022,33,DISP,2,1
LAW095,2022,33,SATR12,2,1
LAW095,2022,33,ATTO,9,4.5
LAW095,2022,33,ATPO,5,2.5
LAW095,2022,33,SPAI,4,2
LAW095,2022,33,ATCA2,2,1
LAW095,2022,33,LEFR2,1,0.5
LAW095,2022,33,ERNA10,5,2.5
LAW095,2022,34,SATR12,6,3
LAW095,2022,34,DISP,7,3.5
LAW095,2022,34,ERNA10,10,5
LAW095,2022,34,ATPO,8,4
LAW095,2022,34,ATCA2,11,5.5
LAW095,2022,34,ATTO,1,0.5
LAW095,2022,35,SATR12,15,7.5
LAW095,2022,35,ATCA2,10,5
LAW095,2022,36,SATR12,13,6.5
LAW095,2022,36,ATCA2,6,3
LAW095,2022,36,ATTO,7,3.5
LAW095,2022,37,SATR12,10,5
LAW095,2022,37,ATCA2,8,4
LAW095,2022,37,ATPO,3,1.5
LAW095,2022,37,ERNA10,2,1
LAW095,2022,37,ATTO,3,1.5
LAW095,2022,38,SATR12,15,7.5
LAW095,2022,38,ATCA2,7,3.5
LAW095,2022,38,ERNA10,3,1.5
LAW095,2022,38,DISP,2,1
LAW095,2022,38,ATPO,4,2
LAW095,2022,39,SATR12,9,4.5
LAW095,2022,39,ATCA2,9,4.5
LAW095,2022,39,ATPO,16,8
LAW095,2022,40,SATR12,14,7
LAW095,2022,40,ATCA2,7,3.5
LAW095,2022,40,ATPO,5,2.5
LAW094,2022,41,SATR12,4,2
LAW094,2022,41,ATCA2,10,5
LAW094,2022,41,KRLA2,1,0.5
LAW094,2022,41,ATPO,6,3
LAW094,2022,42,SATR12,5,2.5
LAW094,2022,42,ATCA2,16,8
LAW094,2022,42,ATPO,7,3.5
LAW094,2022,43,SATR12,5,2.5
LAW094,2022,43,ATCA2,14,7
LAW094,2022,43,ATPO,6,3
LAW094,2022,44,SATR12,4,2
LAW094,2022,44,ATCA2,8,4
LAW094,2022,44,ATPO,13,6.5
LAW094,2022,45,SATR12,3,1.5
LAW094,2022,45,ATCA2,9,4.5
LAW094,2022,45,ATPO,1,0.5
LAW094,2022,46,SATR12,1,0.5
LAW094,2022,46,ATPO,4,2
LAW094,2022,46,PSARM,6,3
LAW094,2022,46,ERNA10,16,8
LAW094,2022,46,ENFA,4,2
LAW094,2022,47,SATR12,6,3
LAW094,2022,47,ATCA2,16,8
LAW094,2022,47,KRLA2,4,2
LAW094,2022,47,SPAI,1,0.5
LAW094,2022,48,ERNA10,10,5
LAW094,2022,48,PSARM,4,2
LAW094,2022,48,SATR12,6,3
LAW094,2022,48,SPAI,2,1
LAW094,2022,48,DISP,1,0.5
LAW094,2022,48,ATPO,3,1.5
LAW094,2022,48,ATCA2,6,3
LAW094,2022,49,ERNA10,7,3.5
LAW094,2022,49,SATR12,3,1.5
LAW094,2022,49,ATPO,17,8.5
LAW094,2022,49,ATCA2,4,2
LAW094,2022,50,SATR12,2,1
LAW094,2022,50,ATPO,16,8
LAW094,2022,50,ATCA2,10,5
LAW094,2022,51,SATR12,19,9.5
LAW094,2022,51,ATTO,4,2
LAW094,2022,51,ATCA2,8,4
LAW094,2022,52,SATR12,10,5
LAW094,2022,52,ATCA2,6,3
LAW094,2022,52,ATPO,9,4.5
LAW094,2022,53,SATR12,24,12
LAW094,2022,53,ATPO,11,5.5
LAW094,2022,53,KRLA2,2,1
LAW094,2022,53,LETR5,3,1.5
LAW094,2022,53,ERNA10,5,2.5
LAW094,2022,53,SPAI,4,2
LAW094,2022,54,SATR12,23,11.5
LAW094,2022,54,ATCA2,12,6
LAW094,2022,54,KRLA2,3,1.5
LAW094,2022,54,ERNA10,3,1.5
LAW094,2022,54,SPAI,2,1
LAW094,2022,55,SATR12,18,9
LAW094,2022,55,ERNA10,5,2.5
LAW094,2022,55,ATCA2,7,3.5
LAW094,2022,55,SPAI,7,3.5
LAW094,2022,55,ATPO,1,0.5
LAW094,2022,55,KRLA2,6,3
LAW094,2022,56,SATR12,23,11.5
LAW094,2022,56,ERNA10,4,2
LAW094,2022,56,ATCA2,12,6
LAW094,2022,56,SPAI,4,2
LAW094,2022,56,DISP,1,0.5
LAW094,2022,57,SATR12,18,9
LAW094,2022,57,ATCA2,14,7
LAW094,2022,57,ATPO,9,4.5
LAW094,2022,58,SATR12,22,11
LAW094,2022,58,ATTO,9,4.5
LAW094,2022,58,ERNA10,6,3
LAW094,2022,58,ENFA,3,1.5
LAW094,2022,58,ATCA2,5,2.5
LAW094,2022,59,SATR12,24,12
LAW094,2022,59,ERNA10,8,4
LAW094,2022,59,ATCA2,15,7.5
LAW094,2022,59,SPAI,1,0.5
LAW094,2022,60,SATR12,18,9
LAW094,2022,60,ATTO,8,4
LAW094,2022,60,ATCA2,9,4.5
LAW094,2022,60,SPAI,3,1.5
LAW094,2022,60,ATPO,2,1
LAW090,2022,61,ATPO,3,1.5
LAW090,2022,61,SATR12,1,0.5
LAW090,2022,61,ATCA2,2,1
LAW090,2022,61,ATTO,11,5.5
LAW090,2022,61,SAVE4,6,3
LAW090,2022,61,POFR2,5,2.5
LAW090,2022,61,SPAI,2,1
LAW090,2022,62,ERNA10,9,4.5
LAW090,2022,62,ATPO,10,5
LAW090,2022,62,SATR12,8,4
LAW090,2022,62,ATCA2,9,4.5
LAW090,2022,62,ATTO,3,1.5
LAW090,2022,62,BAHY,2,1
LAW090,2022,62,HECU3,1,0.5
LAW090,2022,63,ERNA10,10,5
LAW090,2022,63,ATPO,6,3
LAW090,2022,63,SATR12,8,4
LAW090,2022,63,ATCA2,11,5.5
LAW090,2022,64,SATR12,16,8
LAW090,2022,64,ATCA2,21,10.5
LAW090,2022,65,SATR12,8,4
LAW090,2022,65,ATTO,43,21.5
LAW090,2022,66,ERNA10,3,1.5
LAW090,2022,66,ATPO,6,3
LAW090,2022,66,SATR12,1,0.5
LAW090,2022,66,ATCA2,14,7
LAW090,2022,66,ATTO,8,4
LAW090,2022,66,SAVE4,2,1
LAW090,2022,67,ERNA10,7,3.5
LAW090,2022,67,ATPO,3,1.5
LAW090,2022,67,SATR12,2,1
LAW090,2022,67,ATCA2,13,6.5
LAW090,2022,67,ACHY,2,1
LAW090,2022,67,ATTO,8,4
LAW090,2022,68,ATPO,9,4.5
LAW090,2022,68,SATR12,19,9.5
LAW090,2022,68,ATCA2,6,3
LAW090,2022,69,ATPO,15,7.5
LAW090,2022,69,SATR12,6,3
LAW090,2022,69,ERNA10,4,2
LAW090,2022,69,KRLA2,1,0.5
LAW090,2022,69,ATTO,7,3.5
LAW090,2022,70,ATPO,7,3.5
LAW090,2022,70,SATR12,5,2.5
LAW090,2022,70,ATCA2,6,3
LAW090,2022,70,ERNA10,8,4
LAW090,2022,70,HECU3,2,1
LAW090,2022,71,ERNA10,6,3
LAW090,2022,71,SATR12,17,8.5
LAW090,2022,71,ATCA2,3,1.5
LAW090,2022,71,PSARM,1,0.5
LAW090,2022,71,ATPO,3,1.5
LAW090,2022,71,KRLA2,1,0.5
LAW090,2022,72,SATR12,2,1
LAW090,2022,72,ATCA2,15,7.5
LAW090,2022,72,ATPO,10,5
LAW090,2022,73,SATR12,1,0.5
LAW090,2022,73,ATCA2,22,11
LAW090,2022,73,ATPO,18,9
LAW090,2022,73,KRLA2,4,2
LAW090,2022,74,ATCA2,7,3.5
LAW090,2022,74,ATPO,42,21
LAW090,2022,74,SPAI,5,2.5
LAW090,2022,75,SATR12,2,1
LAW090,2022,75,ATCA2,1,0.5
LAW090,2022,75,ATPO,36,18
LAW090,2022,75,ATTO,5,2.5
LAW090,2022,76,SATR12,1,0.5
LAW090,2022,76,ATCA2,1,0.5
LAW090,2022,76,ATPO,5,2.5
LAW090,2022,76,ERNA10,28,14
LAW090,2022,77,SATR12,2,1
LAW090,2022,77,ATCA2,18,9
LAW090,2022,77,ATPO,14,7
LAW090,2022,78,SATR12,17,8.5
LAW090,2022,78,ATCA2,9,4.5
LAW090,2022,78,ATPO,14,7
LAW090,2022,78,ARTR2,4,2
LAW090,2022,78,ERNA10,8,4
LAW090,2022,79,SATR12,45,22.5
LAW090,2022,79,ATCA2,4,2
LAW090,2022,79,ATPO,7,3.5
LAW090,2022,79,ATTO,7,3.5
LAW090,2022,79,MACA17,1,0.5
LAW090,2022,80,SATR12,4,2
LAW090,2022,80,ATCA2,5,2.5
LAW090,2022,80,ATPO,38,19
LAW090,2022,80,KRLA2,4,2
LAW118,2023,1,ERNA10,72,36
LAW118,2023,1,ATCA2,6,3
LAW118,2023,1,DISP,2,1
LAW118,2023,1,SATR12,39,19.5
LAW118,2023,1,IVAX,4,2
LAW118,2023,2,ERNA10,37,18.5
LAW118,2023,2,ATCA2,29,14.5
LAW118,2023,2,SATR12,58,29
LAW118,2023,2,IVAX,3,1.5
LAW118,2023,2,SPAI,2,1
LAW118,2023,3,ERNA10,2,1
LAW118,2023,3,ATCA2,22,11
LAW118,2023,3,SATR12,52,26
LAW118,2023,3,ATPO,6,3
LAW118,2023,4,ERNA10,18,9
LAW118,2023,4,ATCA2,25,12.5
LAW118,2023,4,SATR12,36,18
LAW118,2023,4,IVAX,2,1
LAW118,2023,5,ERNA10,46,23
LAW118,2023,5,ATCA2,35,17.5
LAW118,2023,5,SATR12,18,9
LAW118,2023,5,ATPO,5,2.5
LAW118,2023,5,ACHY,1,0.5
LAW118,2023,6,ERNA10,13,6.5
LAW118,2023,6,ATCA2,15,7.5
LAW118,2023,6,SATR12,52,26
LAW118,2023,6,ATPO,5,2.5
LAW118,2023,6,STPA4,1,0.5
LAW118,2023,6,ERDE6,1,0.5
LAW118,2023,7,ERNA10,14,7
LAW118,2023,7,ATCA2,14,7
LAW118,2023,7,SATR12,46,23
LAW118,2023,7,ATPO,8,4
LAW118,2023,7,SYAS3,1,0.5
LAW118,2023,8,ERCI6,1,0.5
LAW118,2023,8,COAR4,1,0.5
LAW118,2023,8,LACO13,7,3.5
LAW118,2023,8,SATR12,77,38.5
LAW118,2023,8,KRLA2,1,0.5
LAW118,2023,8,ERNA10,12,6
LAW118,2023,8,ATCA2,9,4.5
LAW118,2023,9,SATR12,38,19
LAW118,2023,9,ERNA10,17,8.5
LAW118,2023,9,ARTR2,2,1
LAW118,2023,9,ATPO,1,0.5
LAW118,2023,10,SATR12,76,38
LAW118,2023,10,ERNA10,6,3
LAW118,2023,10,ATPO,5,2.5
LAW118,2023,10,IVAX,3,1.5
LAW118,2023,11,ATPO,42,21
LAW118,2023,11,SATR12,23,11.5
LAW118,2023,12,ATPO,73,36.5
LAW118,2023,12,SATR12,5,2.5
LAW118,2023,12,ERDE6,11,5.5
LAW118,2023,13,ATPO,54,27
LAW118,2023,13,SATR12,4,2
LAW118,2023,13,ERDE6,16,8
LAW118,2023,14,ATPO,45,22.5
LAW118,2023,14,SATR12,9,4.5
LAW118,2023,14,ERDE6,11,5.5
LAW118,2023,15,ATPO,38,19
LAW118,2023,15,SATR12,22,11
LAW090,2024,61,ACHY,0,0
LAW090,2024,61,ACSP12,0,0
LAW090,2024,61,ARTRT,0,0
LAW090,2024,61,GRSP,0,0
LAW090,2024,61,ASFA,0,0
LAW090,2024,61,ATPO,19,9.5
LAW090,2024,61,ATTO,22,11
LAW090,2024,61,SAVE4,7,3.5
LAW090,2024,61,POFR2,9,4.5
LAW090,2024,62,ATPO,1,0.5
LAW090,2024,62,ATTO,23,11.5
LAW090,2024,62,ATCA2,4,2
LAW090,2024,63,ERNA10,1,0.5
LAW090,2024,63,ATTO,5,2.5
LAW090,2024,63,ATCA2,29,14.5
LAW090,2024,64,KRLA2,1,0.5
LAW090,2024,64,ATCA2,9,4.5
LAW090,2024,65,ATPO,6,3
LAW090,2024,65,ATTO,34,17
LAW090,2024,66,ERNA10,1,0.5
LAW090,2024,66,BAHY,2,1
LAW090,2024,66,ATPO,15,7.5
LAW090,2024,66,SATR12,7,3.5
LAW090,2024,66,KRLA2,6,3
LAW090,2024,66,ATTO,1,0.5
LAW090,2024,67,ATTO,7,3.5
LAW090,2024,67,ATCA2,2,1
LAW090,2024,68,ATPO,4,2
LAW090,2024,68,SATR12,5,2.5
LAW090,2024,68,ATCA2,16,8
LAW090,2024,69,ATPO,5,2.5
LAW090,2024,69,ATTO,4,2
LAW090,2024,70,ERNA10,12,6
LAW090,2024,70,ATCA2,6,3
LAW090,2024,71,ATPO,3,1.5
LAW090,2024,71,ATCA2,5,2.5
LAW090,2024,71,ERNA10,5,2.5
LAW090,2024,72,ATPO,2,1
LAW090,2024,72,ATCA2,11,5.5
LAW090,2024,72,ATTO,4,2
LAW090,2024,72,AMDU2,4,2
LAW090,2024,73,ATPO,11,5.5
LAW090,2024,73,ATCA2,23,11.5
LAW090,2024,73,ERNA10,4,2
LAW090,2024,73,AMDU2,6,3
LAW090,2024,73,SATR12,1,0.5
LAW090,2024,73,KRLA2,2,1
LAW090,2024,74,ATPO,30,15
LAW090,2024,74,ATCA2,1,0.5
LAW090,2024,75,ATPO,38,19
LAW090,2024,75,ATCA2,1,0.5
LAW090,2024,76,ATPO,17,8.5
LAW090,2024,76,ATCA2,3,1.5
LAW090,2024,76,ERNA10,7,3.5
LAW090,2024,77,ATPO,21,10.5
LAW090,2024,77,ATCA2,1,0.5
LAW090,2024,77,ERNA10,1,0.5
LAW090,2024,78,ATPO,24,12
LAW090,2024,78,ATCA2,6,3
LAW090,2024,78,ERNA10,5,2.5
LAW090,2024,79,ATPO,12,6
LAW090,2024,79,ATCA2,4,2
LAW090,2024,79,ATTO,5,2.5
LAW090,2024,79,SATR12,2,1
LAW090,2024,80,ATPO,21,10.5
LAW090,2024,80,ATTO,6,3
LAW094,2024,41,MESP2,0,0
LAW094,2024,41,STEPH,0,0
LAW094,2024,41,PSPO,0,0
LAW094,2024,41,ATCO,0,0
LAW094,2024,41,ACSP12,0,0
LAW094,2024,41,ENAC,0,0
LAW094,2024,41,ACHY,0,0
LAW094,2024,41,LYCO2,0,0
LAW094,2024,41,LEFR2,0,0
LAW094,2024,41,ERTE24,0,0
LAW094,2024,41,ERFA2,0,0
LAW094,2024,41,ATPO,7,3.5
LAW094,2024,41,ATCA2,17,8.5
LAW094,2024,42,ATPO,16,8
LAW094,2024,42,ATCA2,8,4
LAW094,2024,43,ATPO,5,2.5
LAW094,2024,43,ATCA2,10,5
LAW094,2024,43,SATR12,1,0.5
LAW094,2024,44,ATPO,35,17.5
LAW094,2024,44,ATCA2,2,1
LAW094,2024,45,ATPO,18,9
LAW094,2024,45,ATCA2,3,1.5
LAW094,2024,46,ATPO,8,4
LAW094,2024,46,ENAC,1,0.5
LAW094,2024,46,ATTO,1,0.5
LAW094,2024,47,ATCA2,7,3.5
LAW094,2024,48,ATCA2,8,4
LAW094,2024,48,ATPO,2,1
LAW094,2024,48,ERNA10,3,1.5
LAW094,2024,48,ATTO,3,1.5
LAW094,2024,49,ATPO,22,11
LAW094,2024,49,ERNA10,9,4.5
LAW094,2024,50,ATPO,41,20.5
LAW094,2024,51,ATCA2,7,3.5
LAW094,2024,51,ATPO,4,2
LAW094,2024,52,ATCA2,3,1.5
LAW094,2024,52,ATPO,16,8
