Parcel,Year,Transect ID,Cover (%),Grass,Herb,Shrub,Tree
LAW090,2022,LAW090_61,14.5,1,0,11,2.5
LAW090,2022,LAW090_62,16,0,0.5,15.5,0
LAW090,2022,LAW090_63,13.5,0,0,13.5,0
LAW090,2022,LAW090_64,10.5,0,0,10.5,0
LAW090,2022,LAW090_65,21.5,0,0,21.5,0
LAW090,2022,LAW090_66,16.5,0,0,16.5,0
LAW090,2022,LAW090_67,16.5,1,0,15.5,0
LAW090,2022,LAW090_68,7.5,0,0,7.5,0
LAW090,2022,LAW090_69,13.5,0,0,13.5,0
LAW090,2022,LAW090_70,11.5,0,1,10.5,0
LAW090,2022,LAW090_71,7,0,0,7.000000000000001,0
LAW090,2022,LAW090_72,12.5,0,0,12.5,0
LAW090,2022,LAW090_73,22,0,0,22,0
LAW090,2022,LAW090_74,27,2.5,0,24.5,0
LAW090,2022,LAW090_75,21,0,0,21,0
LAW090,2022,LAW090_76,17,0,0,17,0
LAW090,2022,LAW090_77,16,0,0,16,0
LAW090,2022,LAW090_78,17.5,0,0,17.5,0
LAW090,2022,LAW090_79,9.5,0,0,9.5,0
LAW090,2022,LAW090_80,23.5,0,0,23.5,0
LAW090,2024,LAW090_61,28.5,0,0,24,4.5
LAW090,2024,LAW090_62,14,0,0,14.000000000000002,0
LAW090,2024,LAW090_63,17.5,0,0,17.5,0
LAW090,2024,LAW090_64,5,0,0,5,0
LAW090,2024,LAW090_65,20,0,0,20,0
LAW090,2024,LAW090_66,11.5,0,0,11.5,0
LAW090,2024,LAW090_67,4.5,0,0,4.5,0
LAW090,2024,LAW090_68,10,0,0,10,0
LAW090,2024,LAW090_69,4.5,0,0,4.5,0
LAW090,2024,LAW090_70,9,0,0,9,0
LAW090,2024,LAW090_71,6.5,0,0,6.5,0
LAW090,2024,LAW090_72,10.5,0,0,10.5,0
LAW090,2024,LAW090_73,23,0,0,23,0
LAW090,2024,LAW090_74,15.5,0,0,15.5,0
LAW090,2024,LAW090_75,19.5,0,0,19.5,0
LAW090,2024,LAW090_76,13.5,0,0,13.5,0
LAW090,2024,LAW090_77,11.5,0,0,11.5,0
LAW090,2024,LAW090_78,17.5,0,0,17.5,0
LAW090,2024,LAW090_79,10.5,0,0,10.5,0
LAW090,2024,LAW090_80,13.5,0,0,13.5,0
LAW090,2025,LAW090_1,14,0,0,14.000000000000002,0
LAW090,2025,LAW090_10,10,0,0,10,0
LAW090,2025,LAW090_2,6,0,0,6,0
LAW090,2025,LAW090_3,8,0,0,8,0
LAW090,2025,LAW090_4,17.5,0,0,17.5,0
LAW090,2025,LAW090_5,18,0,0,18,0
LAW090,2025,LAW090_6,16.5,0,0,16.5,0
LAW090,2025,LAW090_61,14,0,0,14.000000000000002,0
LAW090,2025,LAW090_62,18.5,0,0,18.5,0
LAW090,2025,LAW090_63,2,0,0,2,0
LAW090,2025,LAW090_64,7,0,0,7.000000000000001,0
LAW090,2025,LAW090_65,12,0,0.5,11.5,0
LAW090,2025,LAW090_66,8,0,0,8,0
LAW090,2025,LAW090_67,12,0,0,12,0
LAW090,2025,LAW090_68,8.5,0,0,8.5,0
LAW090,2025,LAW090_69,5,0,0,5,0
LAW090,2025,LAW090_7,9.5,0,0,9.5,0
LAW090,2025,LAW090_70,8.5,0,0,8.5,0
LAW090,2025,LAW090_71,5.5,0,0,5.5,0
LAW090,2025,LAW090_72,10.5,0,0,10.5,0
LAW090,2025,LAW090_73,22,0,0,22,0
LAW090,2025,LAW090_74,17.5,0,0,17.5,0
LAW090,2025,LAW090_75,17,0,0,17,0
LAW090,2025,LAW090_76,14.5,0,0,14.499999999999998,0
LAW090,2025,LAW090_77,14.5,0,0,14.499999999999998,0
LAW090,2025,LAW090_78,16,0,0,16,0
LAW090,2025,LAW090_79,7,0,0,7.000000000000001,0
LAW090,2025,LAW090_8,8.5,0,0,8.5,0
LAW090,2025,LAW090_80,18,0,0,18,0
LAW090,2025,LAW090_9,29,0,0,28.999999999999996,0
LAW090,2025,LAW090_999,3,0.5,0,2.5,0
LAW094,2022,LAW094_41,8.5,0,0,8.5,0
LAW094,2022,LAW094_42,11.5,0,0,11.5,0
LAW094,2022,LAW094_43,10,0,0,10,0
LAW094,2022,LAW094_44,10.5,0,0,10.5,0
LAW094,2022,LAW094_45,5,0,0,5,0
LAW094,2022,LAW094_46,13,0,0,13,0
LAW094,2022,LAW094_47,10.5,0.5,0,10,0
LAW094,2022,LAW094_48,13,1.5,0,11.5,0
LAW094,2022,LAW094_49,14,0,0,14.000000000000002,0
LAW094,2022,LAW094_50,13,0,0,13,0
LAW094,2022,LAW094_51,6,0,0,6,0
LAW094,2022,LAW094_52,7.5,0,0,7.5,0
LAW094,2022,LAW094_53,12.5,3.5000000000000004,0,9,0
LAW094,2022,LAW094_54,10,1,0,9,0
LAW094,2022,LAW094_55,13,3.5000000000000004,0,9.5,0
LAW094,2022,LAW094_56,10.5,2.5,0,8,0
LAW094,2022,LAW094_57,11.5,0,0,11.5,0
LAW094,2022,LAW094_58,10,0,0,10,0
LAW094,2022,LAW094_59,12,0.5,0,11.5,0
LAW094,2022,LAW094_60,11,1.5,0,9.5,0
LAW094,2024,LAW094_41,12,0,0,12,0
LAW094,2024,LAW094_42,12,0,0,12,0
LAW094,2024,LAW094_43,7.5,0,0,7.5,0
LAW094,2024,LAW094_44,18.5,0,0,18.5,0
LAW094,2024,LAW094_45,10.5,0,0,10.5,0
LAW094,2024,LAW094_46,5,0,0,5,0
LAW094,2024,LAW094_47,3.5,0,0,3.5000000000000004,0
LAW094,2024,LAW094_48,8,0,0,8,0
LAW094,2024,LAW094_49,15.5,0,0,15.5,0
LAW094,2024,LAW094_50,20.5,0,0,20.5,0
LAW094,2024,LAW094_51,5.5,0,0,5.5,0
LAW094,2024,LAW094_52,9.5,0,0,9.5,0
LAW094,2024,LAW094_53,7.5,0,0,7.5,0
LAW094,2024,LAW094_54,7,0,0,7.000000000000001,0
LAW094,2024,LAW094_55,9,0,0,9,0
LAW094,2024,LAW094_56,6.5,0,0,6.5,0
LAW094,2024,LAW094_57,11,0,0,11,0
LAW094,2024,LAW094_58,10,0,0,10,0
LAW094,2024,LAW094_59,8.5,0,0,8.5,0
LAW094,2024,LAW094_60,6.5,0,0,6.5,0
LAW094,2025,LAW094_40,10,0.5,0,9.5,0
LAW094,2025,LAW094_42,11.5,0,0,11.5,0
LAW094,2025,LAW094_43,9.5,0,0,9.5,0
LAW094,2025,LAW094_44,18,0,0,18,0
LAW094,2025,LAW094_45,10.5,0,0,10.5,0
LAW094,2025,LAW094_46,7.5,0.5,0,7.000000000000001,0
LAW094,2025,LAW094_47,6,0,0,6,0
LAW094,2025,LAW094_48,7,0,0,7.000000000000001,0
LAW094,2025,LAW094_49,14,0,0,14.000000000000002,0
LAW094,2025,LAW094_50,14,0,0,14.000000000000002,0
LAW094,2025,LAW094_51,6.5,0,0,6.5,0
LAW094,2025,LAW094_52,2.5,0,0,2.5,0
LAW094,2025,LAW094_53,7,0,0,7.000000000000001,0
LAW094,2025,LAW094_54,9,1.5,0,7.5,0
LAW094,2025,LAW094_55,8.5,0.5,0,8,0
LAW094,2025,LAW094_56,5.5,0.5,0,5,0
LAW094,2025,LAW094_57,3.5,0.5,0,3,0
LAW094,2025,LAW094_58,11.5,0,0,11.5,0
LAW094,2025,LAW094_59,9,0,0,9,0
LAW094,2025,LAW094_60,6,1,0,5,0
LAW094,2025,LAW094_999,5.5,0.5,0,5,0
LAW095,2022,LAW095_21,25.5,2,0,23.5,0
LAW095,2022,LAW095_22,18.5,0,0,18.5,0
LAW095,2022,LAW095_23,13.5,5,0,8.5,0
LAW095,2022,LAW095_24,13,0,0,13,0
LAW095,2022,LAW095_25,17,0.5,0,16.5,0
LAW095,2022,LAW095_26,17.5,5,0,12.5,0
LAW095,2022,LAW095_27,5.5,2.5,0,3,0
LAW095,2022,LAW095_28,19,0.5,0,18.5,0
LAW095,2022,LAW095_29,9.5,1,0,8.5,0
LAW095,2022,LAW095_30,14,0,0,14.000000000000002,0
LAW095,2022,LAW095_31,6.5,0,0,6.5,0
LAW095,2022,LAW095_32,6,0,0,6,0
LAW095,2022,LAW095_33,14,3,0,11,0
LAW095,2022,LAW095_34,18.5,3.5000000000000004,0,15,0
LAW095,2022,LAW095_35,5,0,0,5,0
LAW095,2022,LAW095_36,6.5,0,0,6.5,0
LAW095,2022,LAW095_37,8,0,0,8,0
LAW095,2022,LAW095_38,8,1,0,7.000000000000001,0
LAW095,2022,LAW095_39,12.5,0,0,12.5,0
LAW095,2022,LAW095_40,6,0,0,6,0
LAW095,2024,LAW095_21,22.5,0,0,22.5,0
LAW095,2024,LAW095_22,26.5,0,0,26.5,0
LAW095,2024,LAW095_23,4.5,0,0,4.5,0
LAW095,2024,LAW095_24,25.5,0,0,25.5,0
LAW095,2024,LAW095_25,16,0,0,16,0
LAW095,2024,LAW095_26,16,0,0,16,0
LAW095,2024,LAW095_27,3,0,0,3,0
LAW095,2024,LAW095_28,29,0,0,28.999999999999996,0
LAW095,2024,LAW095_29,4.5,0,0,4.5,0
LAW095,2024,LAW095_30,16.5,0,0,16.5,0
LAW095,2024,LAW095_31,7,0,0,7.000000000000001,0
LAW095,2024,LAW095_32,2.5,0,0,2.5,0
LAW095,2024,LAW095_33,17,0,0,17,0
LAW095,2024,LAW095_34,6,0,0,6,0
LAW095,2024,LAW095_35,1,0,0,1,0
LAW095,2024,LAW095_36,2.5,0,0,2.5,0
LAW095,2024,LAW095_37,2,0,0,2,0
LAW095,2024,LAW095_38,4.5,0,0,4.5,0
LAW095,2024,LAW095_39,11.5,0,0,11.5,0
LAW095,2024,LAW095_40,6.5,0,0,6.5,0
LAW095,2025,LAW095_21,16.5,0,0,16.5,0
LAW095,2025,LAW095_22,14,0,0,14.000000000000002,0
LAW095,2025,LAW095_23,6.5,0,0,6.5,0
LAW095,2025,LAW095_24,17.5,0,0,17.5,0
LAW095,2025,LAW095_25,7,0,0,7.000000000000001,0
LAW095,2025,LAW095_26,3,0,0,3,0
LAW095,2025,LAW095_27,3.5,1,0,2.5,0
LAW095,2025,LAW095_28,13,0,0,13,0
LAW095,2025,LAW095_29,4.5,0,0,4.5,0
LAW095,2025,LAW095_30,15.5,0,0,15.5,0
LAW095,2025,LAW095_31,2,0,0,2,0
LAW095,2025,LAW095_32,6.5,0,0,6.5,0
LAW095,2025,LAW095_33,6.5,0,0,6.5,0
LAW095,2025,LAW095_34,4.5,0,0,4.5,0
LAW095,2025,LAW095_35,4.5,0,0,4.5,0
LAW095,2025,LAW095_36,4,0,0,4,0
LAW095,2025,LAW095_37,2.5,0,0,2.5,0
LAW095,2025,LAW095_38,5,0,0,5,0
LAW095,2025,LAW095_39,7.5,0,0,7.5,0
LAW095,2025,LAW095_40,5.5,0,0,5.5,0
LAW095,2025,LAW095_999,6,0.5,0,5,0
LAW129_118,2022,LAW129_1,15.5,0,0.5,15,0
LAW129_118,2022,LAW129_10,16.5,0,0,16.5,0
LAW129_118,2022,LAW129_11,15.5,0,1.5,14.000000000000002,0
LAW129_118,2022,LAW129_12,16,0,0.5,15.5,0
LAW129_118,2022,LAW129_13,19.5,0,0,19.5,0
LAW129_118,2022,LAW129_14,30.5,0,1,29.5,0
LAW129_118,2022,LAW129_15,34.5,0,0,34.5,0
LAW129_118,2022,LAW129_16,4.5,0,0.5,4,0
LAW129_118,2022,LAW129_17,10.5,0,0,10.5,0
LAW129_118,2022,LAW129_18,18.5,0,0,18.5,0
LAW129_118,2022,LAW129_19,9,0,0,9,0
LAW129_118,2022,LAW129_2,18,0,0,18,0
LAW129_118,2022,LAW129_20,4,0,0,4,0
LAW129_118,2022,LAW129_3,23.5,0,0,23.5,0
LAW129_118,2022,LAW129_4,14,1,2,11,0
LAW129_118,2022,LAW129_5,12.5,0,0,12.5,0
LAW129_118,2022,LAW129_6,20.5,0,0,20.5,0
LAW129_118,2022,LAW129_7,12.5,0,0.5,12,0
LAW129_118,2022,LAW129_8,15.5,0,0,15.5,0
LAW129_118,2022,LAW129_9,21.5,0.5,0,21,0
LAW129_118,2023,LAW118_1,42,1,2,39,0
LAW129_118,2023,LAW118_10,7,0,1.5,5.5,0
LAW129_118,2023,LAW118_11,21,0,0,21,0
LAW129_118,2023,LAW118_12,36.5,0,0,36.5,0
LAW129_118,2023,LAW118_13,27,0,0,27,0
LAW129_118,2023,LAW118_14,22.5,0,0,22.5,0
LAW129_118,2023,LAW118_15,19,0,0,19,0
LAW129_118,2023,LAW118_2,35.5,1,1.5,33,0
LAW129_118,2023,LAW118_3,15,0,0,15,0
LAW129_118,2023,LAW118_4,22.5,0,1,21.5,0
LAW129_118,2023,LAW118_5,43.5,0.5,0,43,0
LAW129_118,2023,LAW118_6,17,0,0,16.5,0
LAW129_118,2023,LAW118_7,18.5,0,0.5,18,0
LAW129_118,2023,LAW118_8,11.5,0,0.5,11,0
LAW129_118,2023,LAW118_9,10,0,0,10,0
LAW129_118,2025,LAW118_10,0,0,0,0,0
LAW129_118,2025,LAW118_11,17.5,0,0,17.5,0
LAW129_118,2025,LAW118_13,9.5,0,0,9.5,0
LAW129_118,2025,LAW118_14,20.5,0,0,20.5,0
LAW129_118,2025,LAW118_6,5.5,0,0,5.5,0
LAW129_118,2025,LAW118_8,10.5,0,0,10.5,0
LAW129_118,2025,LAW129_1,24,0,0,24,0
LAW129_118,2025,LAW129_10,9,0,0,9,0
LAW129_118,2025,LAW129_12,23,0,5,18,0
LAW129_118,2025,LAW129_13,31.5,0,0.5,31,0
LAW129_118,2025,LAW129_14,47.5,0,0,47.5,0
LAW129_118,2025,LAW129_15,29,0,0,28.999999999999996,0
LAW129_118,2025,LAW129_17,35,0,0,35,0
LAW129_118,2025,LAW129_2,41,0,0,41,0
LAW129_118,2025,LAW129_21,3,0,0,3,0
LAW129_118,2025,LAW129_3,29,0,1,28.000000000000004,0
LAW129_118,2025,LAW129_5,40.5,0,0,40.5,0
LAW129_118,2025,LAW129_6,10.5,0,0,10.5,0
LAW129_118,2025,LAW129_7,11.5,0,0.5,11,0
LAW129_118,2025,LAW129_8,36.5,0,0,36.5,0
